,a_toff.uid,wiff_file_name,wiff_artifact_uid
0,639307b0-f3a6-4c29-bdfa-16a6809602b0,20171129_SWATH_LI3_E_R3,7dd4df20-c1b0-4678-a6f8-8f4231349635
1,cae21480-5af0-459c-b36a-6b35127f37bf,20171126_SWATH_LI8_NoE_R3,cba470b6-f668-42d2-bf12-3785c88b250c
2,c7463f0b-b95b-4bc5-aba4-a53769a5b038,20171107_SWATH_LungE_7_R2,aa00e94a-9a00-403b-bc97-b2c33c21ea53
3,709e4e75-efa1-48c3-9fb7-fb43e7ea7612,20171129_SWATH_LI7_E_R1,d8a047b5-4095-4359-9059-f8a7978bf6b2
4,084ca7e9-91fb-4402-8547-efc7bc502f9e,20171107_SWATH_LungE_8_R1,da19653e-98c1-4fbd-b7ef-7e27931e7329
5,218bf67f-6890-4b81-97d0-224b056a2cd2,20171107_SWATH_LungE_3_R3,fff93fef-5bbe-4359-9d3e-5eb274e88c3f
6,5459bb2d-dc0a-4f8a-93f7-d1b932cebf5e,20171123_SWATH_Lu5_NoE_R2,09c46f09-c224-43b3-863e-b37d6b0059ca
7,32390577-8952-4efe-980e-754c250f876f,20171123_SWATH_Lu6_NoE_R2,7923092d-3ec1-476e-bcc6-e9d3869c7d1e
8,7bc7c3a5-6b70-45e1-848f-20d4bf4d17c3,20171126_SWATH_LI5_NoE_R1,7fe30171-300f-4191-8c38-cb1651774339
9,e7291f45-ed1b-4f14-82d9-dabeff11c407,20171123_SWATH_Lu8_NoE_R2,ea622cdf-6109-460d-bf41-00a40757a7d3
10,da8dfcbf-abce-4150-9d47-b604a86981df,20171126_SWATH_LI7_NoE_R3,8e36c2b4-f5d4-4c06-81c7-bb9803773db5
11,347f9e5d-0c50-44c6-9019-1161e44a9d8f,20171129_SWATH_LI4_E_R1,5ee22819-c6d8-4771-a828-db465562ff33
12,d4218919-4ff6-43f6-bb17-666de9eaa928,20171126_SWATH_LI7_NoE_R2,b1c52f4d-2cc9-4ada-a32d-30d5dc68f3f8
13,58dd3712-a6be-462a-ae0f-80825a88f9e7,20171123_SWATH_Lu4_NoE_R2,998fa93f-a6cc-4da9-acb7-2a2790ecf09a
14,062796e2-44d9-4597-a2ab-8270f07f6741,20171107_SWATH_LungE_5_R3,3dfe5d6d-4c2a-49ee-81f1-3c5efe8d0ede
15,06fe5ae9-c41d-453c-bac5-e2362f443406,20171129_SWATH_LI8_E_R1,8e7ea266-7ed1-43cf-81d9-de4422e425e4
16,46376b85-8f55-448f-80c8-9a4fd1e579b1,20171107_SWATH_LungE_6_R1,b2db3043-26c2-4577-b0cb-969ea033e679
17,a6041b70-d104-4e8b-8149-cd2e6af1341a,20171129_SWATH_LI6_E_R3,ba60a07b-83fd-4d28-93c0-97e132e85062
18,4666f113-3281-4814-aa12-de2cabbd64ea,20171126_SWATH_LI4_NoE_R2,46d04065-7033-429d-9def-9c3579d72efe
19,16ce46ac-dd8b-4e5c-b886-4951ed839a4a,20171126_SWATH_LI6_NoE_R1,b482871a-e056-448c-b85d-d8cbd513dd95
20,3f1896f1-5f67-451b-9911-4f074aa3c969,20171129_SWATH_LI5_E_R2,b4f7f276-c517-45d9-9954-f5d208300e16
21,5d95f50b-d6c1-4e8d-81c2-e73c9a78f36d,20171129_SWATH_LI7_E_R2,84cbe379-b37b-4f83-9b81-4959e654756a
22,9b84d140-5225-4a2e-be27-0455fe70bf61,20171123_SWATH_Lu3_NoE_R2,047bc15b-8e87-44b2-af58-9957df85185b
23,890bce54-7d86-4fa7-acbc-1d2d2fa3491d,20171129_SWATH_LI8_E_R2,b7ed635e-2b87-48d4-88d6-984e5f46b922
24,40e9b433-8cb2-436a-9362-3349ddaabd4d,20171126_SWATH_LI3_NoE_R3,50afdef7-0f80-4bc6-baaf-9f65f2123d45
25,dcb8bdf0-e8f3-4f25-b2fa-aa0a8b32ef24,20171107_SWATH_LungE_5_R2,af47804f-af43-4adb-8f8f-196f72a97d37
26,75663192-b25c-458a-b94a-7549aa925a80,20171123_SWATH_Lu3_NoE_R3,7714f843-65ed-4849-a27e-9ff9c398da8d
27,00d2bc76-9231-4e17-8502-aab3759b4c06,20171126_SWATH_LI3_NoE_R2,45c8183a-9825-43c7-a9c4-4475c658cb16
28,5d8912bf-5f47-43b0-a11d-552c13c746aa,20171123_SWATH_Lu4_NoE_R1,1ca974ba-5f36-414e-9ae4-8644aa8d9116
29,082e7ad4-0950-4a2b-b82d-f589fb043042,20171129_SWATH_LI6_E_R1,d362f08f-6abf-4f34-9e46-8ae860318f48
30,c2ad6aa5-d3d7-4f90-bd1d-99136855050e,20171123_SWATH_Lu6_NoE_R3,ab59f215-e280-4fb5-9b00-6a62907f932e
31,1421cef7-4854-4954-939f-1984ca5fc538,20171107_SWATH_LungE_5_R1,2df9c2fa-b2d6-4296-87fa-d6841fcbba2a
32,b7080e91-5233-49c5-b681-5e6b14ef751e,20171126_SWATH_LI5_NoE_R2,576f2c16-e3a7-4ad7-996f-ce58fedeaa57
33,d113193f-52d3-4a2a-9976-51fd3fafb2b4,20171107_SWATH_LungE_4_R3,b44f6670-92ef-40e8-86f4-eb666f3b1dc4
34,289f34ff-d93d-46e8-944e-0d8f3face515,20171123_SWATH_Lu6_NoE_R1,17122f95-accb-4f4f-bd62-505d5d681239
35,9e34ad02-0ba2-485c-8578-c9439d78dccd,20171126_SWATH_LI7_NoE_R1,dfe5f217-00ae-4fc5-ae0a-4a24da997ddb
36,1a43df10-e844-4c41-88af-5d37dbf0aaeb,20171107_SWATH_LungE_4_R2,e24b0bc4-d28f-404a-b712-217daf91a271
37,d0d5c241-0944-4e1e-8b0c-42a408106b9f,20171123_SWATH_Lu7_NoE_R1,200e298d-a666-4a5f-b9aa-feb9e448c2e6
38,c4e5c7b2-83d5-4a98-9ab6-48dd66f63b87,20171126_SWATH_LI4_NoE_R3,4041485d-7628-4809-a4ad-28292126bc38
39,7899eece-9084-4f17-8563-6778a3492fe6,20171126_SWATH_LI8_NoE_R2,33e392ec-3ad9-4829-8250-392a0ecc383e
40,0cbe585f-b663-464a-956d-f9ee9c0cc9ed,20171107_SWATH_LungE_3_R2,60fc95de-9684-485d-a776-dfcfde3f0df2
41,1609f8da-22fb-4c81-a088-e9b974f8b5ff,20171107_SWATH_LungE_3_R1,aa6b6d71-5a80-4111-bd35-fe66801d0224
42,316242db-ddb6-4d43-acaa-4d01c472b3c6,20171107_SWATH_LungE_6_R2,9c5ab86f-ab49-4f75-866c-1a6e8397d8c9
43,c1e89a4b-d8aa-46af-b47d-ea939684724a,20171129_SWATH_LI3_E_R2,d7cd0af0-8851-4980-bc58-6376d1e5833a
44,87195f85-4752-479f-af6b-de5a784dc00a,20171126_SWATH_LI5_NoE_R3,ae098b54-012f-4e09-9bb4-cb49368c0bb3
45,1690b6c6-96f4-4b60-b1ba-53252e8837c0,20171129_SWATH_LI7_E_R3,f6b22807-fef9-438f-a494-50e232d8abc6
46,00e7b6a9-2bf2-4278-89a0-400135199e85,20171123_SWATH_Lu4_NoE_R3,3fd60dcf-4da3-4108-8bd6-ce46ddc50968
47,12368fc2-566c-4404-b0a8-a0ed2d817f89,20171107_SWATH_LungE_8_R3,f93e97ad-4206-414d-a521-82a0a3aafa0b
48,09368258-e978-472a-8190-d20014814501,20171107_SWATH_LungE_7_R1,8c33a46c-ab93-42a2-8b25-c719a46e0711
49,0b434cc6-99cd-43ca-923b-ca556a897d4c,20171123_SWATH_Lu8_NoE_R1,ad04378a-a3ec-4f27-b404-7570add11e98
50,9097dd65-1647-41b4-a986-9843ea800eb3,20171129_SWATH_LI3_E_R1,2350f9b6-a399-4c17-978c-36a6894c5ae1
51,62317603-fa58-49bc-9220-223787832eab,20171129_SWATH_LI8_E_R3,c139204b-f9ea-47fe-ae07-a642b19aab5c
52,766610bd-cf11-4c46-850f-2ea94e18ca4d,20171107_SWATH_LungE_8_R2,6db77f91-2902-40c9-9d65-21994416dd23
